ID,error
1A6A,Failed, MHC structure is bound to CLIP peptide
1A6A,Removed
1D5M,Failed, Non canonical residues in the peptide chain
1H15,Failed, MHC structure is bound to CLIP peptide
1D5M,Removed
1H15,Removed
1D5Z,Failed, Non canonical residues in the peptide chain
1D5Z,Removed
1D5X,Failed, Could not find a suitable peptide chain with a length between 7 and 25. Found: A:179; B:183; C:223; D:6
1D5X,Removed
1HDM,Failed, Could not find a suitable peptide chain with a length between 7 and 25. Found: A:184; B:183
1D6E,Failed, Non canonical residues in the peptide chain
1D6E,Removed
1HDM,Removed
1ES0,Warning, Successfully cut merged peptide from MHC chain
1FNG,Warning, Successfully cut merged peptide from MHC chain
1FNG,Failed, Could not find a suitable peptide chain with a length between 7 and 25. Found: A:182; B:186; C:182; D:186; E:27; F:27
1FNG,Removed
1IEA,Warning, Successfully cut merged peptide from MHC chain
1K8I,Failed, Could not find a suitable peptide chain with a length between 7 and 25. Found: A:181; B:190
1IEA,Failed, Could not find a suitable peptide chain with a length between 7 and 25. Found: A:182; B:185; C:182; D:185; E:29; F:29
1K8I,Removed
1IEA,Removed
1FNE,Warning, Successfully cut merged peptide from MHC chain
1MUJ,Failed, MHC structure is bound to CLIP peptide
1FNE,Failed, Could not find a suitable peptide chain with a length between 7 and 25. Found: A:182; B:186; C:182; D:186; E:27; F:27
1FNE,Removed
1MUJ,Removed
1IEB,Warning, Successfully cut merged peptide from MHC chain
1IEB,Failed, Could not find a suitable peptide chain with a length between 7 and 25. Found: A:182; B:185; C:182; D:185; 1:1; 2:1; E:29; F:29
1IEB,Removed
1KTD,Warning, Successfully cut merged peptide from MHC chain
1KTD,Failed, Could not find a suitable peptide chain with a length between 7 and 25. Found: A:182; B:185; C:182; D:185; E:30; F:30
1KTD,Removed
1PYW,Failed, Non canonical residues in the peptide chain
1PYW,Removed
1I3R,Warning, Successfully cut merged peptide from MHC chain
1I3R,Failed, Could not find a suitable peptide chain with a length between 7 and 25. Found: A:182; B:187; C:182; D:187; E:182; F:187; G:182; H:187; 1:2; 2:2; 3:2; 4:2; I:29; J:29; K:29; L:29
1I3R,Removed
1KT2,Warning, Successfully cut merged peptide from MHC chain
1KT2,Failed, Could not find a suitable peptide chain with a length between 7 and 25. Found: A:182; B:185; C:182; D:185; 1:2; E:28; F:28
1KT2,Removed
1JL4,Warning, Warning: Found a beta-strand in peptide. This is most likely a crystal artifact or it is causeb by a bound TCR
1SEB,Failed, Non canonical residues in the peptide chain
1SEB,Removed
1KLG,Warning, Warning: Found a beta-strand in peptide. This is most likely a crystal artifact or it is causeb by a bound TCR
1KLU,Warning, Warning: Found a beta-strand in peptide. This is most likely a crystal artifact or it is causeb by a bound TCR
1JWM,Warning, Warning: Found a beta-strand in peptide. This is most likely a crystal artifact or it is causeb by a bound TCR
1LNU,Warning, Successfully cut merged peptide from MHC chain
1LNU,Failed, Could not find a suitable peptide chain with a length between 7 and 25. Found: A:182; B:187; C:182; D:187; E:182; F:187; G:182; H:187; 1:1; I:30; J:30; K:30; L:30
1LNU,Removed
1J8H,Warning, Warning: Found a beta-strand in peptide. This is most likely a crystal artifact or it is causeb by a bound TCR
2BC4,Failed, Could not find a suitable peptide chain with a length between 7 and 25. Found: A:188; B:191; C:195; D:197; 1:4; 2:4
2BC4,Removed
1R5V,Warning, Warning: Found a beta-strand in peptide. This is most likely a crystal artifact or it is causeb by a bound TCR
1UVQ,Warning, There are heteroatoms within 6 Angstrom of the peptide chain
2IAD,Warning, Successfully cut merged peptide from MHC chain
2IPK,Failed, Non canonical residues in the peptide chain
2IPK,Removed
2XN9,Failed, MHC structure is bound to CLIP peptide
2XN9,Removed
2WBJ,Failed, MHC structure is bound to CLIP peptide
2WBJ,Removed
3L6F,Warning, Changed PTM residues into normal residues: SEP -> SER
3PDO,Failed, MHC structure is bound to CLIP peptide
3PDO,Removed
3PGD,Failed, MHC structure is bound to CLIP peptide
3PGD,Removed
3PGC,Failed, MHC structure is bound to CLIP peptide
3PGC,Removed
3QXD,Failed, MHC structure is bound to CLIP peptide
3QXD,Removed
1S9V,Warning, There are heteroatoms within 6 Angstrom of the peptide chain
3C5Z,Warning, Successfully cut merged peptide from MHC chain
2IAM,Warning, Warning: Found a beta-strand in peptide. This is most likely a crystal artifact or it is causeb by a bound TCR
3C6L,Warning, Successfully cut merged peptide from MHC chain
1D9K,Warning, Warning: Found a beta-strand in peptide. This is most likely a crystal artifact or it is causeb by a bound TCR
1R5I,Warning, There are heteroatoms within 6 Angstrom of the peptide chain
3RDT,Warning, Successfully cut merged peptide from MHC chain
3WEX,Warning, Successfully cut merged peptide from MHC chain
4MCZ,Failed, Non canonical residues in the peptide chain
4MCZ,Removed
3T0E,Warning, Successfully cut merged peptide from MHC chain
4MDI,Failed, Non canonical residues in the peptide chain
4MDI,Removed
4MD4,Failed, Non canonical residues in the peptide chain
4MD4,Removed
4FQX,Failed, HLA-DM or H2-DM chaperone protein is involved.
4FQX,Removed
3LQZ,Warning, Successfully cut merged peptide from MHC chain
2OJE,Warning, There are heteroatoms within 6 Angstrom of the peptide chain
4MD0,Failed, Non canonical residues in the peptide chain
4MD0,Removed
4MD5,Failed, Non canonical residues in the peptide chain
4MD5,Removed
3QIB,Warning, Warning: Found a beta-strand in peptide. This is most likely a crystal artifact or it is causeb by a bound TCR
4X5W,Failed, MHC structure is bound to CLIP peptide
4X5W,Removed
3QIW,Warning, Warning: Found a beta-strand in peptide. This is most likely a crystal artifact or it is causeb by a bound TCR
4X5X,Failed, MHC structure is bound to CLIP peptide
4X5X,Removed
4P57,Warning, Successfully cut merged peptide from MHC chain
4P4K,Warning, Successfully cut merged peptide from MHC chain
4MCY,Failed, Non canonical residues in the peptide chain
4MCY,Removed
4MDJ,Warning, There are heteroatoms within 6 Angstrom of the peptide chain
4MDJ,Removed
3QXA,Failed, MHC structure is bound to CLIP peptide
3QXA,Removed
5KSU,Failed, MHC structure is bound to CLIP peptide
5KSU,Removed
4P5M,Warning, Successfully cut merged peptide from MHC chain
4GBX,Failed, HLA-DM or H2-DM chaperone protein is involved.
4GBX,Removed
5KSV,Failed, MHC structure is bound to CLIP peptide
5KSV,Removed
5JLZ,Failed, Non canonical residues in the peptide chain
5JLZ,Removed
5NIG,Failed, Non canonical residues in the peptide chain
5NIG,Removed
6BIJ,Failed, Non canonical residues in the peptide chain
6BIJ,Removed
6ATZ,Failed, Non canonical residues in the peptide chain
6ATZ,Removed
6BIL,Failed, Non canonical residues in the peptide chain
6BIL,Removed
6BIN,Removed
4P2O,Warning, Warning: Found a beta-strand in peptide. This is most likely a crystal artifact or it is causeb by a bound TCR
